Animal_Number,year,month,age,Lactation_Number,Days_In_Milk,RT_mean,RT_variance,AT_mean,AT_variance,temperature_mean,temperature_variance,humidity_mean,humidity_variance,solarradiation_mean,solarradiation_variance,THI_mean,THI_variance,MY1,MY2
101,2024,5,5.68219178082192,4,280,394.733333333333,11253.780952381,425.0,11922.4285714286,61.9733333333333,13.9335238095238,55.8266666666667,64.3792380952381,309.406666666667,5033.9620952381,44.4710896,14.327017550449,19.93990432,18.6892863771429
107,2024,5,5.29315068493151,4,140,546.4,1646.68571428571,451.333333333333,707.52380952381,67.88,58.4774285714286,50.9933333333333,76.9092380952381,328.8,4851.78571428571,50.8583631333333,63.5741371895122,42.22034336,45.8529672914286
115,2023,9,2.41095890410959,1,101,485.0,18254.4285714286,470.8,13874.1714285714,70.5266666666667,5.4092380952381,57.1666666666667,4.32095238095238,213.553333333333,184.544095238095,52.4502339333333,5.45094191527792,35.48450216,34.8566012342857
1025,2024,3,2.21369863013699,1,132,591.666666666667,1184.52380952381,438.0,135.0,55.5533333333333,9.60552380952381,66.7333333333333,41.6566666666667,217.88,1794.81028571429,38.7174182666667,7.67636273348978,48.5116644,47.1022892571429
1032,2024,5,2.37534246575342,1,118,556.933333333333,12529.2095238095,488.466666666667,6031.98095238095,68.1733333333333,58.8378095238095,51.86,75.7454285714286,329.886666666667,4902.09838095238,51.0414911333333,63.715518755087,39.14045368,31.1656583314286
1048,2024,4,2.25753424657534,1,132,511.8,17437.4571428571,520.933333333333,19032.9238095238,54.7133333333333,19.6812380952381,70.7933333333333,20.4092380952381,213.32,3417.25171428571,38.6088588666667,14.396176585633,36.5595152,35.5603168228571
1126,2023,12,1.93698630136986,1,29,382.642857142857,19223.9395604396,469.0,19892.6153846154,48.0714285714286,14.6498901098901,66.6785714285714,38.9356593406593,98.0714285714286,209.799120879121,31.1982527857143,13.791949779789,41.2315128,36.0761157257143
1147,2024,7,2.50958904109589,1,173,458.866666666667,15709.8380952381,520.266666666667,17907.780952381,88.5266666666667,6.99780952380953,40.18,13.2931428571429,347.006666666667,615.446380952381,73.4084360666667,9.46048936568109,38.83201112,43.1579828228571
1155,2024,3,2.19452054794521,1,66,525.2,19065.7428571429,448.0,13795.4285714286,57.7266666666667,11.1749523809524,63.88,57.6417142857143,218.3,1573.14142857143,40.5817146666667,8.29616261869897,15.81221712,34.2526758857143
1163,2024,6,2.46301369863014,1,214,474.466666666667,22602.6952380952,550.6,19716.4,82.5133333333333,21.3140952380952,35.9733333333333,22.1049523809524,357.733333333333,661.065238095238,69.0711954666667,29.2060647651557,35.96077376,33.6999416342857
1172,2024,7,2.51506849315069,1,163,484.866666666667,16681.4095238095,454.4,13508.1142857143,85.82,16.4717142857143,41.0466666666667,18.058380952381,339.46,492.964,70.4607916666667,24.4484324356554,45.74928912,34.6933081142857
19910,2024,3,3.87397260273973,2,237,516.266666666667,21321.0666666667,539.866666666667,19141.5523809524,53.6666666666667,4.17380952380952,72.9666666666667,6.03809523809523,167.606666666667,1811.12495238095,38.0601563333333,4.72302459097008,29.710276,27.7851019542857
40660,2023,8,6.76986301369863,5,96,563.066666666667,24766.780952381,439.0,15652.5714285714,79.4933333333333,11.5506666666667,46.4533333333333,41.1040952380952,297.626666666667,197.049238095238,62.9048390666667,20.3691799046466,25.10178128,38.2708530171429
42101,2024,5,7.08493150684932,5,281,586.8,21572.7428571429,475.0,14936.7142857143,70.7,13.2428571428572,47.4533333333333,38.6798095238095,360.78,49.6802857142858,53.8857813333333,19.4105564108878,35.84737576,42.6791192685714
42329,2024,3,6.77260273972603,5,120,561.133333333333,24074.8380952381,438.8,14505.8857142857,54.2266666666667,9.07066666666667,71.9533333333333,5.63409523809523,171.573333333333,1730.52780952381,38.3106926,8.64381322155039,36.41890168,35.1844834514286
42339,2024,2,6.73698630136986,5,98,526.666666666667,7615.09523809524,426.0,4102.14285714286,51.6333333333333,17.6838095238095,75.8666666666667,32.5595238095238,123.766666666667,2972.30238095238,37.259186,14.1659084247701,37.5800972,37.1880641142857
